id,x,y,latitude,longitude,label,tags,url,xywh
point_48,,,27.7782985,128.9067753,西目間切之内せたき村,村,"https://maps.app.goo.gl/?q=27.7782985,128.9067753",
point_49,,,27.7120116,128.9276622,面縄間切之内あこん村,村,"https://maps.app.goo.gl/?q=27.7120116,128.9276622",
point_50,,,27.6735195,128.9378668,面縄間切,間切,"https://maps.app.goo.gl/?q=27.6735195,128.9378668",
point_51,,,27.411801,128.6700217,きびる間切,間切,"https://maps.app.goo.gl/?q=27.411801,128.6700217",
point_52,,,27.4039405,128.6333198,きひる間切之内あぜふ村,村,"https://maps.app.goo.gl/?q=27.4039405,128.6333198",
point_53,,,27.3797757,128.5703543,徳時間切之内西目村,村,"https://maps.app.goo.gl/?q=27.3797757,128.5703543",
point_54,,,27.353573,128.5401619,徳時間切,間切,"https://maps.app.goo.gl/?q=27.353573,128.5401619",
point_55,,,27.3350964,128.5664169,徳時間切之内ぢな村,村,"https://maps.app.goo.gl/?q=27.3350964,128.5664169",
point_56,,,27.3605179,128.5913495,大城間切之内下平川村,村,"https://maps.app.goo.gl/?q=27.3605179,128.5913495",
point_57,,,27.3776145,128.6188955,大城間切,間切,"https://maps.app.goo.gl/?q=27.3776145,128.6188955",
point_58,,,27.395595926733545,128.63988101163653,大城間切之内和村,村,"https://maps.app.goo.gl/?q=27.395595926733545,128.63988101163653",
point_59,,,27.0309176,128.4455395,むきや村,村,"https://maps.app.goo.gl/?q=27.0309176,128.4455395",
point_60,,,27.0493098,128.414953,むきや村内あがさ村,村,"https://maps.app.goo.gl/?q=27.0493098,128.414953",
point_61,,,28.3216123,129.9709674,"鬼界嶋
高六千九百三拾弐石四斗
嶋廻六里廿四町",島,"https://maps.app.goo.gl/?q=28.3216123,129.9709674",
point_62,,,28.3240384,129.9369348,わん泊,港湾,"https://maps.app.goo.gl/?q=28.3240384,129.9369348",
point_63,,,28.4211899,129.5977798,ふかいか浦湊,港湾,"https://maps.app.goo.gl/?q=28.4211899,129.5977798",
point_64,,,28.4492274,129.6223079,いまてく崎,崎,"https://maps.app.goo.gl/?q=28.4492274,129.6223079",
point_65,,,28.434327,129.646472,いつとむ崎,崎,"https://maps.app.goo.gl/?q=28.434327,129.646472",
point_66,,,28.468028,129.648093,ひんなふ崎,崎,"https://maps.app.goo.gl/?q=28.468028,129.648093",
point_67,,,28.4718481,129.6493983,立神,その他,"https://maps.app.goo.gl/?q=28.4718481,129.6493983",
point_68,,,28.4417395,129.6675086,つしろ崎,崎,"https://maps.app.goo.gl/?q=28.4417395,129.6675086",
point_69,,,28.471358,129.685412,高嶽,山,"https://maps.app.goo.gl/?q=28.471358,129.685412",
point_70,,,28.499335,129.649966,かまふ崎,崎,"https://maps.app.goo.gl/?q=28.499335,129.649966",
point_71,,,28.5294998,129.6892235,かさり崎,崎,"https://maps.app.goo.gl/?q=28.5294998,129.6892235",
point_72,,,28.758597,129.778270,たいもら,干瀬,"https://maps.app.goo.gl/?q=28.758597,129.778270",
point_73,,,28.546604,129.721584,とのはら,干瀬,"https://maps.app.goo.gl/?q=28.546604,129.721584",
point_74,,,28.531524,129.719353,平瀬,干瀬,"https://maps.app.goo.gl/?q=28.531524,129.719353",
